pkey;ref_ouvrage;id_gis;comment;p_nom;sst30;gen_auto;temp_min;ref_profil;profil_libelle;pompe;groupe1;tpambgroupe1;groupe2;groupe3;ecs;direct;sstfulldirect;temp_ext;ref_zone_forcage;zone_forcage_libelle;regul_cad;ref_type_regulateur;regulateur_libelle;regulateur_num
874;11723;235555612;SST 3.0 Grand-Rue 42, 1630 BULLE;25;1;1;65;1005;SST2.0-groupe5;0;1;0;0;0;1;0;0;1;2005;ECS-zone5;1;8;SST3.0 V1;1006
876;11799;190976009;SST 2.0 Vevey 64, 1630 BULLE;60;0;1;65;1014;SST2.0-groupe14;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
879;11892;1511188;SST 3.0 Gruyères 28, 1630 BULLE;70;1;1;65;1005;SST2.0-groupe5;0;1;0;1;1;0;0;0;0;2005;ECS-zone5;1;10;SST3.0 V3;1008
882;12095;1517316;SST 2.0 Place Pra 5, 1663 LA TOUR-DE -TREME;15;0;1;65;1014;SST2.0-groupe14;0;1;0;1;0;1;0;0;0;2014;ECS-zone14;1;9;SST3.0 V2;1007
884;12212;3091625;SST 2.0 Intyamon 275, 1638 GRUYERES;15;0;1;65;1016;SST2.0-groupe16;0;1;1;0;0;1;0;0;1;2016;ECS-zone16;1;8;SST3.0 V1;1006
1236;174136;1511193;SST 2.0 Gruyères 7, 1630 BULLE;35;0;1;65;1013;SST2.0-groupe13;0;1;0;0;0;1;0;0;1;2013;ECS-zone13;1;8;SST3.0 V1;1006
887;12281;9063094;SST 3.0 Lécheretta 17, 1630 BULLE;250;1;1;65;1009;SST2.0-groupe9;1;1;0;1;0;0;1;0;1;2009;ECS-zone9;1;10;SST3.0 V3;1008
889;12297;190774469;SST 2.0 Rotonde 25, 1638 MARSENS;400;0;1;65;1010;SST2.0-groupe10;0;0;0;0;0;0;0;0;0;2010;ECS-zone10;1;12;SST3.0 Multi 2 échangeurs;1010
890;12303;235555971;SST 3.0 Condémine 44, 1630 BULLE;70;1;1;65;1010;SST2.0-groupe10;0;0;0;0;0;0;0;0;0;2010;ECS-zone10;1;7;SST3.0 V0;1005
894;12385;235006439;SST 2.0 Vudalla 23, 1630 BULLE;430;0;1;65;1005;SST2.0-groupe5;0;0;0;0;0;0;0;0;0;2005;ECS-zone5;1;7;SST3.0 V0;1005
895;12397;235006808;SST 3.0 Pervenches 5, 1630 BULLE;12;1;1;65;1004;SST2.0-groupe4;0;1;0;0;0;1;0;0;0;2004;ECS-zone4;1;8;SST3.0 V1;1006
892;12328;235555929;SST 3.0 Vudalla 37, 1630 BULLE;50;1;1;65;1013;SST2.0-groupe13;0;0;0;0;0;0;0;0;0;2013;ECS-zone13;1;7;SST3.0 V0;1005
896;12420;235555947;SST 3.0 Condémine 38, 1630 BULLE;70;1;1;65;1014;SST2.0-groupe14;0;0;0;0;0;0;0;0;0;2014;ECS-zone14;1;7;SST3.0 V0;1005
900;12490;1510562;SST 2.0 Essert 15, 1630 BULLE;30;0;1;65;1008;SST2.0-groupe8;0;1;0;0;0;1;0;0;0;2008;ECS-zone8;1;8;SST3.0 V1;1006
901;12546;1510590;SST 2.0 Jordils 3, 1630 BULLE;25;0;1;65;1011;SST2.0-groupe11;0;1;0;0;0;1;0;0;1;2011;ECS-zone11;1;8;SST3.0 V1;1006
1030;124954;502173970;SST 2.0 Jardins 16, 1638 MARSENS;80;0;1;65;1006;SST2.0-groupe6;0;0;0;0;0;0;0;0;0;2006;ECS-zone6;1;7;SST3.0 V0;1005
910;12697;1517343;SST 2.0 Carré 30, 1663 LA TOUR-DE -TREME;10;0;1;65;1003;SST2.0-groupe3;0;1;0;0;0;1;0;0;0;2003;ECS-zone3;1;8;SST3.0 V1;1006
1233;171843;1517329;SST 3.0 Ancien-Comté 49, 1663 LA TOUR-DE -TREME;10;1;1;65;1006;SST2.0-groupe6;0;1;0;0;0;1;0;0;1;2006;ECS-zone6;1;8;SST3.0 V1;1006
908;12665;1510772;SST 3.0 Alpettes 22, 1630 BULLE;10;1;1;65;1010;SST2.0-groupe10;0;1;0;0;0;1;0;0;0;2010;ECS-zone10;1;8;SST3.0 V1;1006
909;12686;1510839;SST 3.0 Saucens 20, 1630 BULLE;10;1;1;65;1014;SST2.0-groupe14;0;1;0;0;0;1;0;0;1;2014;ECS-zone14;1;8;SST3.0 V1;1006
1177;149388;1511842;SST 2.0 Riaz 92, 1630 BULLE;180;0;1;65;1012;SST2.0-groupe12;1;0;0;0;0;0;0;0;0;2012;ECS-zone12;1;7;SST3.0 V0;1005
915;12806;1511979;SST 2.0 Champ-Francey 124, 1630 BULLE;25;0;1;65;1011;SST2.0-groupe11;0;1;0;1;0;1;0;0;0;2011;ECS-zone11;1;9;SST3.0 V2;1007
921;13132;1510658;SST 2.0 Pierre-Sciobéret 93, 1630 BULLE;10;0;1;65;1014;SST2.0-groupe14;0;1;0;0;0;1;0;0;0;2014;ECS-zone14;1;8;SST3.0 V1;1006
914;12794;1511063;SST 3.0 Champ-Francey 108, 1630 BULLE;10;1;1;65;1013;SST2.0-groupe13;0;1;0;0;0;1;0;0;1;2013;ECS-zone13;1;8;SST3.0 V1;1006
917;12976;1511067;SST 3.0 Champ-Francey 116, 1630 BULLE;10;1;1;65;1005;SST2.0-groupe5;0;1;0;0;0;1;0;0;1;2005;ECS-zone5;1;8;SST3.0 V1;1006
924;13167;1516063;SST 2.0 Roulema 4+6, 1632 RIAZ;20;0;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;1;2015;ECS-zone15;1;8;SST3.0 V1;1006
1232;171689;3091339;SST 3.0 Grande-Gîte 15, 1630 BULLE;10;1;1;65;1006;SST2.0-groupe6;0;1;0;0;0;1;0;0;0;2006;ECS-zone6;1;8;SST3.0 V1;1006
930;13433;3091149;SST 2.0 Bourgo 5, 1630 BULLE;90;0;1;65;1003;SST2.0-groupe3;0;1;0;1;0;1;0;0;1;2003;ECS-zone3;1;9;SST3.0 V2;1007
933;13510;3092175;SST 2.0 Préville 18, 1663 LA TOUR-DE -TREME;10;0;1;65;1011;SST2.0-groupe11;0;1;0;0;0;1;0;0;1;2011;ECS-zone11;1;8;SST3.0 V1;1006
934;13524;3092176;SST 2.0 Préville 20, 1663 LA TOUR-DE -TREME;10;0;1;65;1012;SST2.0-groupe12;0;1;0;0;0;1;0;0;1;2012;ECS-zone12;1;8;SST3.0 V1;1006
1213;160523;235005363;SST 3.1 Place des Alpes 12, 1630 BULLE;30;1;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;1;2015;ECS-zone15;1;0;Non defini;0
1178;149391;3091984;SST 2.0 Perrausa 16, 1632 RIAZ;40;0;1;65;1013;SST2.0-groupe13;0;1;0;0;0;1;0;0;1;2013;ECS-zone13;1;8;SST3.0 V1;1006
938;13598;160001213;SST 3.0 Général-Castella 17, 1630 BULLE;100;1;1;65;1014;SST2.0-groupe14;1;1;0;0;0;1;0;0;1;2014;ECS-zone14;1;8;SST3.0 V1;1006
941;13735;1517078;SST 2.0 Préville 38, 1663 LA TOUR-DE -TREME;10;0;1;65;1009;SST2.0-groupe9;0;1;0;0;0;1;0;0;1;2009;ECS-zone9;1;8;SST3.0 V1;1006
943;14171;1517430;SST 3.0 Perreire 13, 1663 LA TOUR-DE -TREME;10;1;1;65;1010;SST2.0-groupe10;0;1;0;0;0;0;0;0;1;2010;ECS-zone10;1;8;SST3.0 V1;1006
1190;155724;1514856;SST 2.0 Humilimont 31, 1638 MARSENS;10;0;1;65;1012;SST2.0-groupe12;0;1;0;0;0;1;0;0;1;2012;ECS-zone12;1;8;SST3.0 V1;1006
267;39368;235555878;SST 2.0 Monts 31, 1632 RIAZ;40;0;1;65;1015;SST2.0-groupe15;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
1080;134131;1511425;SST 3.0 Palud 4, 1630 BULLE;110;1;1;65;1004;SST2.0-groupe4;0;1;0;0;0;1;0;0;1;2004;ECS-zone4;1;8;SST3.0 V1;1006
1019;124292;1511114;SST 3.0 Grand-Rue 7, 1630 BULLE;250;1;1;65;1014;SST2.0-groupe14;1;0;0;0;0;1;0;0;1;2014;ECS-zone14;1;7;SST3.0 V0;1005
1175;149382;1511259;SST 3.0 Remparts 14, 1630 BULLE;110;1;1;65;1016;SST2.0-groupe16;0;1;0;0;0;1;0;0;1;2016;ECS-zone16;1;8;SST3.0 V1;1006
1243;178960;1510465;SST 2.0 Russalet 5, 1630 BULLE;30;0;1;65;1008;SST2.0-groupe8;0;1;0;0;0;1;0;0;1;2008;ECS-zone8;1;8;SST3.0 V1;1006
786;39928;235004455;SST 3.0 Campanules 21, 1630 BULLE;15;1;1;65;1011;SST2.0-groupe11;0;1;0;0;0;1;0;0;1;2011;ECS-zone11;1;8;SST3.0 V1;1006
872;11667;235557434;SST 3.0 Aurore 7, 1630 BULLE;7;1;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;0;2015;ECS-zone15;1;8;SST3.0 V1;1006
733;39838;1511115;SST 3.0 Grand-Rue 11, 1630 BULLE;40;1;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;1;0;1;2015;ECS-zone15;1;8;SST3.0 V1;1006
1205;159439;1510722;SST 2.0 Vevey 109, 1630 BULLE;25;0;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;1;2015;ECS-zone15;1;8;SST3.0 V1;1006
1179;149394;3091277;SST 2.0 Berra 60, 1630 BULLE;60;0;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;1;2015;ECS-zone15;1;8;SST3.0 V1;1006
871;11630;235557446;SST 3.0 Aurore 35, 1630 BULLE;9;1;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;1;2015;ECS-zone15;1;8;SST3.0 V1;1006
1156;139118;1510593;SST 3.0 Bourgo 7, 1630 BULLE;70;1;1;65;1005;SST2.0-groupe5;0;1;0;0;0;1;0;0;1;2005;ECS-zone5;1;8;SST3.0 V1;1006
745;39850;235555307;SST 3.0 Aurore 5, 1630 BULLE;7;1;1;65;1008;SST2.0-groupe8;0;1;0;0;0;1;0;0;1;2008;ECS-zone8;1;8;SST3.0 V1;1006
777;39919;190279808;SST 3.0 Câtillon 28, 1630 BULLE;8;1;1;65;1008;SST2.0-groupe8;0;1;0;0;0;1;0;0;1;2008;ECS-zone8;1;8;SST3.0 V1;1006
1022;124301;1510726;SST 2.0 Vanils 7, 1630 BULLE;25;0;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;1;2015;ECS-zone15;1;8;SST3.0 V1;1006
1154;139112;1510605;SST 3.0 Bourgo 14, 1630 BULLE;25;1;1;65;1006;SST2.0-groupe6;0;1;0;0;0;1;0;0;1;2006;ECS-zone6;1;8;SST3.0 V1;1006
1062;129660;1511155;SST 3.0 Avenue de la Gare 5, 1630 BULLE;160;1;1;65;1001;SST2.0-groupe1;0;1;0;1;0;1;1;0;1;2001;ECS-zone1;1;10;SST3.0 V3;1008
1196;157829;191974714;SST 2.0 Perce-Neige 40, 1632 RIAZ;10;0;1;65;1005;SST2.0-groupe5;0;1;0;0;0;1;0;0;1;2005;ECS-zone5;1;8;SST3.0 V1;1006
1237;174139;1510736;SST 2.0 Albergeux 7, 1630 BULLE;15;0;1;65;1008;SST2.0-groupe8;0;1;0;0;0;1;0;0;1;2008;ECS-zone8;1;8;SST3.0 V1;1006
1040;125664;1511192;SST 3.0 Gruyères 5, 1630 BULLE;50;1;1;65;1013;SST2.0-groupe13;0;1;0;0;0;1;1;0;1;2013;ECS-zone13;1;8;SST3.0 V1;1006
920;13078;9081167;SST 3.0 Champ-Francey 122, 1630 BULLE;20;1;1;65;1010;SST2.0-groupe10;0;1;0;1;0;1;0;0;1;2010;ECS-zone10;1;9;SST3.0 V2;1007
1180;149397;1510720;SST 2.0 Vevey 121, 1630 BULLE;15;0;1;65;1002;SST2.0-groupe2;0;1;0;0;0;1;0;0;1;2002;ECS-zone2;1;8;SST3.0 V1;1006
965;48504;1513766;SST 2.0 Duvillard 37, 1638 GRUYERES;10;0;1;65;1016;SST2.0-groupe16;0;1;0;0;0;1;0;0;1;2016;ECS-zone16;1;8;SST3.0 V1;1006
752;39894;1510708;SST 3.0 Tirage 31, 1630 BULLE;60;1;1;65;1014;SST2.0-groupe14;0;1;0;0;0;1;0;0;0;2014;ECS-zone14;1;8;SST3.0 V1;1006
829;12250;2412903;SST 3.0 Dardens 80, 1630 BULLE;250;1;1;65;1009;SST2.0-groupe9;0;0;0;0;0;0;0;0;0;2009;ECS-zone9;1;7;SST3.0 V0;1005
1142;137676;3091298;SST 3.1 Comte-Michel 3, 1630 BULLE;10;1;1;65;1014;SST2.0-groupe14;0;1;0;0;0;1;0;0;1;2014;ECS-zone14;1;0;Non defini;0
1206;159442;191977800;SST 2.0 Perce-Neige 42, 1632 RIAZ;10;0;1;65;1007;SST2.0-groupe7;0;1;0;0;0;1;0;0;1;2007;ECS-zone7;1;8;SST3.0 V1;1006
303;39404;190619749;SST 3.0 Plaisance 55, 1630 BULLE;11;1;1;65;1016;SST2.0-groupe16;0;1;0;0;0;1;0;0;1;2016;ECS-zone16;1;8;SST3.0 V1;1006
1025;124896;1513765;SST 2.0 Duvillard 35, 1638 GRUYERES;10;0;1;65;1003;SST2.0-groupe3;0;1;0;0;0;1;0;0;1;2003;ECS-zone3;1;8;SST3.0 V1;1006
1191;155727;3091405;SST 3.1 Pays-d'Enhaut 32, 1630 BULLE;60;1;1;65;1006;SST2.0-groupe6;0;1;0;0;0;1;0;0;1;2006;ECS-zone6;1;0;Non defini;0
1183;154336;9015340;SST 3.1 Pilons 12, 1630 BULLE;120;1;1;65;1002;SST2.0-groupe2;0;1;0;0;0;1;0;0;1;2002;ECS-zone2;1;0;Non defini;0
992;52573;1510743;SST 3.0 Louis-Bornet 12, 1630 BULLE;20;1;1;65;1010;SST2.0-groupe10;0;1;0;0;0;1;0;0;1;2010;ECS-zone10;1;8;SST3.0 V1;1006
1026;124899;3091589;SST 2.0 Duvillard 26, 1638 GRUYERES;10;0;1;65;1004;SST2.0-groupe4;0;1;0;0;0;1;0;0;1;2004;ECS-zone4;1;8;SST3.0 V1;1006
1027;124902;1516030;SST 2.0 Corbières 15, 1632 RIAZ;20;0;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;1;2015;ECS-zone15;1;8;SST3.0 V1;1006
1181;149400;1517189;SST 2.0 Mon-Repos 6, 1663 LA TOUR-DE -TREME;100;0;1;65;1003;SST2.0-groupe3;0;1;0;1;1;1;1;0;1;2003;ECS-zone3;1;9;SST3.0 V2;1007
1176;149385;1510766;SST 3.0 Vevey 201, 1630 BULLE;100;1;1;65;1001;SST2.0-groupe1;0;1;0;1;1;1;1;0;1;2001;ECS-zone1;1;10;SST3.0 V3;1008
1029;124951;1514803;SST 2.0 Hôpital 259, 1638 MARSENS;30;0;1;65;1005;SST2.0-groupe5;0;0;0;0;0;0;0;0;0;2005;ECS-zone5;1;7;SST3.0 V0;1005
1061;129056;3092171;SST 2.0 Préville 13, 1663 LA TOUR-DE -TREME;30;0;1;65;1008;SST2.0-groupe8;0;0;0;0;0;0;0;0;0;2008;ECS-zone8;1;7;SST3.0 V0;1005
847;42360;1517203;SST 3.0 Rosiers 5, 1663 LA TOUR-DE -TREME;20;1;1;65;1014;SST2.0-groupe14;0;1;0;0;0;1;0;0;1;2014;ECS-zone14;1;8;SST3.0 V1;1006
1244;178963;1517233;SST 2.0 Cité Saint-Michel 9, 1663 LA TOUR-DE -TREME;150;0;1;65;1007;SST2.0-groupe7;0;1;0;0;0;1;0;0;1;2007;ECS-zone7;1;8;SST3.0 V1;1006
1151;138351;1510546;SST 3.0 Vieux-Pont 27, 1630 BULLE;30;1;1;65;1001;SST2.0-groupe1;0;1;0;0;0;1;0;0;1;2001;ECS-zone1;1;8;SST3.0 V1;1006
968;48513;191834682;SST 2.0 Vernes 3, 1638 GRUYERES;15;0;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;1;2015;ECS-zone15;1;8;SST3.0 V1;1006
1238;174142;190198397;SST 2.0 Pâla 122a, 1630 BULLE;45;0;1;65;1007;SST2.0-groupe7;0;0;0;0;0;0;0;0;0;2007;ECS-zone7;1;7;SST3.0 V0;1005
1076;134119;1515855;SST 2.0 Monts 1, 1632 RIAZ;10;0;1;65;1011;SST2.0-groupe11;0;1;0;0;0;1;0;0;1;2011;ECS-zone11;1;8;SST3.0 V1;1006
950;34140;191682351.b;SST 2.0 Condémine 54, 1630 BULLE;30;0;1;65;1006;SST2.0-groupe6;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
952;34299;1511220;SST 3.0 Grand-Rue 34, 1630 BULLE;35;1;1;65;1004;SST2.0-groupe4;0;1;0;0;0;0;0;0;1;2004;ECS-zone4;1;8;SST3.0 V1;1006
1075;133979;235002503;SST 3.0 Gibloux 17, 1630 BULLE;90;1;1;65;1004;SST2.0-groupe4;0;1;0;1;0;1;0;0;1;2004;ECS-zone4;1;9;SST3.0 V2;1007
4;39105;190210251;SST 2.0 Plaisance 8, 1630 BULLE;7;0;1;65;1003;SST2.0-groupe3;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
6;39107;235557377;SST 2.0 Armaillis 27, 1630 BULLE;8;0;1;65;1007;SST2.0-groupe7;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
7;39108;3091203;SST 2.0 Corbières 9, 1630 BULLE;180;0;1;65;1006;SST2.0-groupe6;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
8;39109;1511281;SST 2.0 Pierre-Alex 10, 1630 BULLE;100;0;1;65;1004;SST2.0-groupe4;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
12;39113;1511242;SST 2.0 Marché 18, 1630 BULLE;40;0;1;65;1015;SST2.0-groupe15;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
13;39114;1511427;SST 2.0 Palud 12, 1630 BULLE;170;0;1;65;1002;SST2.0-groupe2;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
14;39115;3091246;SST 2.0 Général-Castella 5, 1630 BULLE;150;0;1;65;1004;SST2.0-groupe4;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
15;39116;1517209;SST 2.0 Clémence 12, 1663 LA TOUR-DE -TREME;70;0;1;65;1005;SST2.0-groupe5;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
16;39117;1511240;SST 2.0 Marché 12, 1630 BULLE;70;0;1;65;1005;SST2.0-groupe5;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
18;39119;235557784;SST 2.0 Léchère 18, 1630 BULLE;80;0;1;65;1012;SST2.0-groupe12;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
22;39123;1511141;SST 2.0 Sionge 23, 1630 BULLE;130;0;1;65;1006;SST2.0-groupe6;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
23;39124;1511117;SST 2.0 Grand-Rue 15, 1630 BULLE;50;0;1;65;1006;SST2.0-groupe6;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
24;39125;235556356;SST 2.0 Campanules 11, 1630 BULLE;15;0;1;65;1006;SST2.0-groupe6;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
1192;155870;3091404;SST 3.1 Pays-d'Enhaut 28, 1630 BULLE;50;1;1;65;1005;SST2.0-groupe5;0;1;0;0;0;1;0;0;1;2005;ECS-zone5;1;0;Non defini;0
27;39128;235555960;SST 2.0 Pré-Vert 7, 1630 BULLE;125;0;1;65;1005;SST2.0-groupe5;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
28;39129;190192121;SST 2.0 Verdel 15, 1630 BULLE;60;0;1;65;1011;SST2.0-groupe11;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
30;39131;1511255;SST 2.0 Rieta 19, 1630 BULLE;80;0;1;65;1016;SST2.0-groupe16;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
31;39132;190198382;SST 2.0 Riaz 146, 1630 BULLE;30;0;1;65;1015;SST2.0-groupe15;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
32;39133;9081120;SST 2.0 Riaz 18, 1630 BULLE;60;0;1;65;1015;SST2.0-groupe15;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
33;39134;235555333;SST 2.0 Repou 28, 1630 BULLE;170;0;1;65;1012;SST2.0-groupe12;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
34;39135;1510541;SST 2.0 Vieux-Pont 57, 1630 BULLE;120;0;1;65;1009;SST2.0-groupe9;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
36;39137;235555991;SST 2.0 Bouleyres 16, 1630 BULLE;140;0;1;65;1005;SST2.0-groupe5;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
37;39138;235555342;SST 2.0 Bouleyres 18, 1630 BULLE;140;0;1;65;1016;SST2.0-groupe16;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
40;39141;3091123;SST 2.0 Berra 25, 1630 BULLE;110;0;1;65;1001;SST2.0-groupe1;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
41;39142;1510540;SST 2.0 Pays-d'Enhaut 25, 1630 BULLE;400;0;1;65;1004;SST2.0-groupe4;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;5;MR08/12 primaire;1003
42;39143;1510479;SST 2.0 Bouleyres 70, 1630 BULLE;30;0;1;65;1015;SST2.0-groupe15;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
43;39144;1510478;SST 2.0 Paix 20, 1630 BULLE;100;0;1;65;1003;SST2.0-groupe3;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
44;39145;9015349;SST 2.0 Paix 27, 1630 BULLE;80;0;1;65;1005;SST2.0-groupe5;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
754;39896;191046910;SST 3.0 Ancien-Comté 75, 1663 LA TOUR-DE -TREME;30;1;1;65;1007;SST2.0-groupe7;0;1;0;0;0;1;0;0;1;2007;ECS-zone7;1;8;SST3.0 V1;1006
45;39146;1510475;SST 2.0 Russalet 25, 1630 BULLE;60;0;1;65;1011;SST2.0-groupe11;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
46;39147;1510492;SST 2.0 Russalet 6, 1630 BULLE;20;0;1;65;1016;SST2.0-groupe16;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
47;39148;1510493;SST 2.0 Russalet 8, 1630 BULLE;25;0;1;65;1005;SST2.0-groupe5;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
48;39149;1510467;SST 2.0 Russalet 9, 1630 BULLE;100;0;1;65;1013;SST2.0-groupe13;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
49;39150;1510472;SST 2.0 Pays-d'Enhaut 18, 1630 BULLE;130;0;1;65;1012;SST2.0-groupe12;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
50;39151;1510473;SST 2.0 Pays-d'Enhaut 24, 1630 BULLE;70;0;1;65;1008;SST2.0-groupe8;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
52;39153;1510488;SST 2.0 Auguste-Majeux 19, 1630 BULLE;90;0;1;65;1001;SST2.0-groupe1;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
53;39154;235006798;SST 2.0 Vuippens 44, 1630 BULLE;90;0;1;65;1007;SST2.0-groupe7;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
54;39155;235555956;SST 2.0 Verdel 25, 1630 BULLE;80;0;1;65;1013;SST2.0-groupe13;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
55;39156;235555920;SST 2.0 Verdel 21, 1630 BULLE;80;0;1;65;1004;SST2.0-groupe4;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
56;39157;1511795;SST 2.0 Etang 5, 1630 BULLE;25;0;1;65;1006;SST2.0-groupe6;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
57;39158;1511828;SST 2.0 Verdel 8, 1630 BULLE;100;0;1;65;1010;SST2.0-groupe10;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
58;39159;235003623;SST 2.0 Vuippens 48, 1630 BULLE;75;0;1;65;1005;SST2.0-groupe5;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
59;39160;235004386;SST 2.0 Corbières 65, 1630 BULLE;75;0;1;65;1014;SST2.0-groupe14;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;6;RVD 230-250;1004
